timestamp,model,epoch,train_loss,val_loss,val_mae_norm,val_mse_norm,val_rmse_norm
2026-08-26 12:30:15,small_unet,1,0.11169061766801557,0.13987049647645713,0.13987049647645713,0.03341378960521979,0.18279439161314492
2026-08-26 12:30:59,small_unet,2,0.10489976389508229,0.13024387432475729,0.13024387432475729,0.029256602769843692,0.1710456160497652
2026-08-26 12:31:44,small_unet,3,0.10729675839635698,0.12276386522474543,0.12276386522474543,0.02582013265146088,0.1606864420275117
2026-08-26 12:32:29,small_unet,4,0.1077095014838657,0.1179745511180954,0.1179745511180954,0.023481178719218104,0.1532356966219624
2026-08-26 12:33:13,small_unet,5,0.10779431011275543,0.11407544791291002,0.11407544791291002,0.021575414107246615,0.14688571784638088
2026-08-26 12:33:58,small_unet,6,0.10809123914611216,0.11261775748668394,0.11261775748668394,0.02065084370254529,0.14370401421861984
2026-08-26 12:34:42,small_unet,7,0.10751702253279898,0.1123741369859393,0.1123741369859393,0.020321626633934404,0.14255394289157491
2026-08-26 12:35:25,small_unet,8,0.1081154846023613,0.11289770076109562,0.11289770076109562,0.020562486829476256,0.1433962580734806
2026-08-26 12:36:09,small_unet,9,0.10823998074047267,0.11222318396418511,0.11222318396418511,0.020129013351530983,0.14187675409146835
2026-08-26 12:36:54,small_unet,10,0.10815659239985204,0.11212983815736759,0.11212983815736759,0.020102735191661242,0.14178411473667013
2026-08-26 12:37:39,small_unet,11,0.10840147136283727,0.11242640997321966,0.11242640997321966,0.020244896826019005,0.1422845628521204
2026-08-26 12:38:24,small_unet,12,0.10825671270722523,0.11235374652217918,0.11235374652217918,0.020037703034783288,0.14155459383143765
2026-08-26 12:39:08,small_unet,13,0.10877128245871669,0.11229443080083001,0.11229443080083001,0.01997700137993282,0.14134002044690958
2026-08-26 12:39:53,small_unet,14,0.10894406297787403,0.11247744493690941,0.11247744493690941,0.020084164515234686,0.14171861033482755
2026-08-26 12:40:38,small_unet,15,0.10947300429591754,0.11265071976231411,0.11265071976231411,0.020062825018006453,0.14164330205839756
2026-08-26 12:41:23,small_unet,16,0.10910357450290273,0.11286692566257746,0.11286692566257746,0.020122305995149265,0.14185311415386434
2026-08-26 12:42:07,small_unet,17,0.10917307964312689,0.1127174373298961,0.1127174373298961,0.020154936415565317,0.14196808238320793
2026-08-26 12:42:52,small_unet,18,0.1090757977818915,0.11262675922868463,0.11262675922868463,0.02007957791041311,0.14170242732717428
2026-08-26 12:43:36,small_unet,19,0.10903887037517658,0.11266293635223217,0.11266293635223217,0.02010728079767432,0.1418001438563245
2026-08-26 12:44:21,small_unet,20,0.10815404782867215,0.11219683003825291,0.11219683003825291,0.019930716022220924,0.14117618787253366
2026-08-26 12:45:06,small_unet,21,0.10792219392606058,0.11244006686320063,0.11244006686320063,0.019979103818513977,0.1413474577716698
