timestamp,sample,split,model,checkpoint,patch_size,stride,blend,mae_norm,mse_norm,rmse_norm,mae_raw_height_units,mse_raw_height_units,rmse_raw_height_units
2026-08-11 17:33:16,V25_O_A$3D,test,small_unet,unet_patch128_ep100.pth,128,64,gaussian,0.6084678769111633,0.5788006782531738,0.7607895098206691,5.798926849820418e-07,5.254547339773874e-13,7.248825656459034e-07
2026-08-11 17:33:26,V25_O_A$3D,test,small_unet,unet_patch128_ep100.pth,128,128,none,0.616386353969574,0.6197169423103333,0.7872210250687752,5.874449584553076e-07,5.626083366544465e-13,7.500722209590531e-07
2026-08-11 17:33:27,V25_O_A$3D,test,small_unet,unet_patch128_ep100.pth,128,64,uniform,0.6125734448432922,0.6004541516304016,0.7748897674059205,5.838079459863366e-07,5.451115904150927e-13,7.383167277091131e-07
2026-08-26 13:44:23,V25_O_A$3D,test,small_unet,models\small_unet_patch128_stride128_ep100_best.pth,128,64,gaussian,0.06372249126434326,0.009454270824790001,0.09723307474717643,1.733049430185929e-05,6.993540191402303e-10,2.6445302402132413e-05
2026-08-26 13:44:50,V25_O_A$3D,test,small_unet,models\small_unet_patch128_stride128_ep100_best.pth,128,128,none,0.06476269662380219,0.00966683030128479,0.09832004018146448,1.761338899086695e-05,7.150774417041816e-10,2.674093195279816e-05
2026-08-26 13:44:51,V25_O_A$3D,test,small_unet,models\small_unet_patch128_stride128_ep100_best.pth,128,64,uniform,0.064180389046669,0.009577673859894276,0.0978655907860075,1.745501867844723e-05,7.08481717737186e-10,2.6617319882685145e-05
2026-08-26 15:21:48,V25_O_A$3D,test,small_unet,models\small_unet_patch128_stride128_ep100_best.pth,128,64,gaussian,0.06372249126434326,0.009454270824790001,0.09723307474717643,1.733049430185929e-05,6.993540191402303e-10,2.6445302402132413e-05
2026-08-26 15:21:50,V25_O_I$3D,test,small_unet,models\small_unet_patch128_stride128_ep100_best.pth,128,64,gaussian,0.10749493539333344,0.01607074774801731,0.12677045297709286,2.9622957299579866e-05,1.2203243970887456e-09,3.493314181531266e-05
2026-08-26 15:21:52,V25_O_M$3D,test,small_unet,models\small_unet_patch128_stride128_ep100_best.pth,128,64,gaussian,0.06774024665355682,0.009995854459702969,0.09997927014988141,1.6428168237325735e-05,5.878207365306309e-10,2.4245014673755736e-05
2026-08-26 15:21:53,V25_U_A$3D,test,small_unet,models\small_unet_patch128_stride128_ep100_best.pth,128,64,gaussian,0.10627816617488861,0.018545327708125114,0.13618123111547023,3.0371928005479276e-05,1.5145419363093993e-09,3.891711623835198e-05
2026-08-26 15:21:55,V25_U_I$3D,test,small_unet,models\small_unet_patch128_stride128_ep100_best.pth,128,64,gaussian,0.1231485977768898,0.023590095341205597,0.15359067465574072,3.3996751881204545e-05,1.7978974975463302e-09,4.240162140232765e-05
2026-08-26 15:21:57,V25_U_M$3D,test,small_unet,models\small_unet_patch128_stride128_ep100_best.pth,128,64,gaussian,0.07369302213191986,0.009820193983614445,0.09909689189684227,2.2148629795992747e-05,8.870601475585715e-10,2.9783554985235922e-05
2026-08-26 15:21:59,V26_O_A$3D,test,small_unet,models\small_unet_patch128_stride128_ep100_best.pth,128,64,gaussian,0.08966728299856186,0.012598244473338127,0.11224190159355875,2.28782319027232e-05,8.200481405040705e-10,2.8636482683878454e-05
2026-08-26 15:22:00,V26_O_I$3D,test,small_unet,models\small_unet_patch128_stride128_ep100_best.pth,128,64,gaussian,0.0770716518163681,0.010986551642417908,0.10481675268017945,1.882053584267851e-05,6.550734399368707e-10,2.5594402511816344e-05
2026-08-26 15:22:02,V26_O_M$3D,test,small_unet,models\small_unet_patch128_stride128_ep100_best.pth,128,64,gaussian,0.07411777973175049,0.010982410050928593,0.10479699447469185,2.253227648907341e-05,1.0151369744804128e-09,3.1861214265630444e-05
2026-08-26 15:22:04,V26_U_A$3D,test,small_unet,models\small_unet_patch128_stride128_ep100_best.pth,128,64,gaussian,0.10306791961193085,0.017642635852098465,0.1328255843280897,2.9300797905307263e-05,1.4259241565284242e-09,3.776141094461943e-05
2026-08-26 15:22:06,V26_U_I$3D,test,small_unet,models\small_unet_patch128_stride128_ep100_best.pth,128,64,gaussian,0.09968703240156174,0.015561969950795174,0.12474762503068014,2.982845762744546e-05,1.393287041295821e-09,3.732676039111646e-05
2026-08-26 15:22:07,V26_U_M$3D,test,small_unet,models\small_unet_patch128_stride128_ep100_best.pth,128,64,gaussian,0.10098610818386078,0.01683104783296585,0.129734528299007,2.2117312255431898e-05,8.073164359245766e-10,2.8413314412869482e-05
2026-08-26 15:22:09,V27_O_A$3D,test,small_unet,models\small_unet_patch128_stride128_ep100_best.pth,128,64,gaussian,0.06773775070905685,0.009484165348112583,0.09738667952093132,1.8619066395331174e-05,7.164725479569256e-10,2.6767004837241793e-05
